x,y,z,vx,vy,vz,E_tot,Lz,phase_chi,ParticleIDs,halo,level,PeakMassIndex_ID,AccretedFlag,BoundFirstTime
-14.866162,43.5147,31.31231,83.984505,182.5318,22.11808,-124383.31772288927,-6368.107848675099,-1131.4095061500002,8796169432519,26,4,4664,0.0,4.250308
-21.958878,13.245269,20.02623,17.83678,300.73804,105.665306,-123088.85184205818,-6840.12287951294,-1086.7398316999997,8796137670588,26,4,4664,0.0,4.250308
-0.79788524,-27.91649,-14.408395,-246.12672,103.07289,196.71144,-120603.89321110796,-6953.234455187944,-1007.3042505000001,8796172039932,26,4,4664,0.0,4.250308
22.831251,-37.184525,-28.71575,-207.0399,7.7604985,107.24884,-119531.70039483796,-7521.498448408876,-945.9487021199997,8796156892675,26,4,4664,0.0,4.250308
24.350586,-28.55444,-30.65165,-206.68262,-10.6754875,136.04312,-119558.79902861928,-6161.660848293474,-947.5188912000001,8796165691651,26,4,4664,0.0,6.8125005
44.087685,-34.282005,-41.545906,-154.19405,-33.234695,49.03589,-118863.72574238118,-6751.321957301326,-883.6082705000001,8796117278551,26,4,4664,0.0,4.4169116
41.56767,-35.24679,-38.13026,-164.94678,-35.44183,62.042202,-118617.94081243697,-7287.078809472299,-899.1788799600001,8796167490610,26,4,4664,0.0,4.250308
71.82535,-4.4595256,-41.099743,-75.20871,-80.22054,-17.616404,-118065.68860617654,-6097.263530276976,-845.8720540999999,8796135878926,26,4,4664,0.0,6.6778803
69.090546,-16.12963,-40.841766,-86.00328,-78.58949,-9.425971,-117870.13948074431,-6816.99185914794,-831.7574558000001,8796134847242,26,4,4664,0.0,4.0817823
59.704826,-22.974022,-46.030403,-108.305855,-64.43409,32.248165,-117824.17283636185,-6335.24722741715,-835.75356066,8796189575216,26,4,4664,0.0,4.250308
69.68264,-21.386545,-39.984028,-88.190056,-73.428154,-0.32303184,-117504.51793664976,-7002.748222243081,-825.1092289,8796124802810,26,4,4664,0.0,4.0817823
76.2126,-2.7959716,-41.263252,-44.331646,-80.668945,-28.908773,-117690.48465957606,-6271.940060904252,-788.31716022,8796144769940,26,4,4664,0.0,4.250308
69.659706,-13.572675,-45.48366,-78.64686,-74.381996,-4.3540154,-117345.12631654648,-6248.876243603676,-836.2894767000003,8796178382248,26,4,4664,0.0,4.4169116
65.74538,-19.641088,-47.524876,-82.29799,-75.78947,-1.610989,-117332.71689676044,-6599.229568961719,-832.73552165,8796130719391,26,4,4664,0.0,4.250308
66.686165,-24.20291,-43.817574,-87.23025,-73.71134,-5.836149,-117297.63060259583,-7026.752471638601,-825.1132388000002,8796158571649,26,4,4664,0.0,4.250308
68.46695,-25.198215,-46.4633,-69.42768,-72.25326,2.834864,-117109.21360764575,-6696.4139473482,-811.9048310000002,8796155295683,26,4,4664,0.0,4.250308
81.20002,-10.544249,-37.20942,-40.00243,-71.337494,-35.117027,-116896.78097928816,-6214.401522074951,-775.7847746000001,8796182409263,26,4,4664,0.0,4.250308
75.990074,-16.104845,-42.083935,-47.293205,-76.627525,-32.279144,-116770.1160179148,-6584.581031265076,-781.06020696,8796154444418,26,4,4664,0.0,6.495249
79.57461,4.5287313,-39.196617,-33.28699,-79.14512,-40.832153,-117103.13077915504,-6147.194223907414,-789.7787427500002,8796177021833,26,4,4664,0.0,4.4169116
82.06936,-2.6880727,-35.811478,-15.20962,-78.220375,-48.174004,-116895.60286646149,-6460.380679509374,-756.4158606999999,8796189898931,26,4,4664,0.0,4.250308
